               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.027525,            0.010989,           0.0017326,             0.97497,              0.9461,             0.97575,             0.72544,            0.024004,           0.0059404,           0.0015423,           0.0041837,           0.0041837,           0.0041837
                  49,            0.027477,            0.010691,           0.0011723,             0.96936,             0.95941,               0.979,             0.70693,            0.025791,           0.0061526,           0.0013839,             0.00406,             0.00406,             0.00406
                  50,             0.02752,            0.010568,           0.0017227,             0.94719,             0.94845,              0.9726,              0.7197,            0.023327,           0.0060252,           0.0013854,           0.0039362,           0.0039362,           0.0039362
                  51,            0.026234,            0.011013,           0.0020471,             0.95596,             0.95737,              0.9743,             0.72147,            0.022928,           0.0059598,           0.0013542,           0.0038125,           0.0038125,           0.0038125
                  52,            0.026088,             0.01049,            0.001579,             0.98163,             0.95135,             0.98425,             0.73563,            0.022951,           0.0059463,           0.0013507,           0.0036888,           0.0036888,           0.0036888
                  53,            0.025456,             0.01017,            0.001461,             0.97571,             0.95955,             0.98488,             0.73772,            0.022954,           0.0059263,           0.0013143,            0.003565,            0.003565,            0.003565
                  54,            0.025264,            0.010679,           0.0017655,             0.98633,             0.95135,             0.98541,             0.74894,            0.022218,           0.0059289,           0.0012804,           0.0034413,           0.0034413,           0.0034413
                  55,            0.024504,             0.01014,            0.001451,             0.99717,             0.93245,             0.98605,             0.75955,            0.021297,           0.0057682,           0.0013031,           0.0033175,           0.0033175,           0.0033175
                  56,            0.025164,            0.011019,           0.0013957,             0.98185,             0.95955,             0.98645,             0.75771,             0.02086,           0.0057427,           0.0012661,           0.0031938,           0.0031938,           0.0031938
                  57,            0.026053,            0.010966,           0.0017966,             0.96692,             0.95316,             0.97445,             0.73852,            0.021689,             0.00573,           0.0011855,             0.00307,             0.00307,             0.00307
                  58,            0.024748,            0.010205,           0.0011785,               0.996,             0.95135,             0.98563,             0.75092,            0.020919,           0.0056803,           0.0011715,           0.0029462,           0.0029462,           0.0029462
                  59,            0.024033,           0.0096378,           0.0013814,             0.98128,             0.95135,             0.98434,             0.76012,            0.020781,           0.0055918,           0.0011969,           0.0028225,           0.0028225,           0.0028225
                  60,            0.023617,            0.010355,           0.0023601,             0.98568,             0.95009,             0.98347,             0.75554,            0.020425,           0.0056043,           0.0012576,           0.0026987,           0.0026987,           0.0026987
                  61,            0.024197,           0.0094136,            0.001549,             0.98254,             0.95456,             0.98234,             0.75528,            0.020964,           0.0056556,           0.0012776,            0.002575,            0.002575,            0.002575
                  62,             0.02396,            0.010165,            0.001254,             0.96238,             0.95494,             0.98092,             0.76283,            0.020562,           0.0055652,           0.0012006,           0.0024513,           0.0024513,           0.0024513
                  63,            0.023711,             0.01054,           0.0017667,             0.97087,              0.9594,             0.98229,             0.77902,            0.020845,           0.0055449,           0.0011565,           0.0023275,           0.0023275,           0.0023275
                  64,            0.023717,            0.010014,            0.001922,             0.96839,             0.96774,             0.98262,             0.77543,            0.019464,           0.0054493,           0.0012227,           0.0022038,           0.0022038,           0.0022038
                  65,            0.022369,            0.010391,           0.0010427,              0.9681,             0.97111,             0.98348,             0.77946,            0.019809,           0.0054772,           0.0012385,             0.00208,             0.00208,             0.00208
                  66,            0.021727,           0.0095525,           0.0018749,             0.96042,             0.96658,             0.98386,             0.77676,            0.019698,           0.0055427,           0.0011988,           0.0019563,           0.0019563,           0.0019563
                  67,              0.0224,             0.01001,           0.0015249,             0.95955,             0.96092,             0.98434,               0.774,            0.019806,            0.005574,           0.0011208,           0.0018325,           0.0018325,           0.0018325
                  68,             0.02225,           0.0095562,           0.0013241,             0.97722,             0.94633,             0.98488,             0.78338,             0.01918,           0.0054866,           0.0011019,           0.0017087,           0.0017087,           0.0017087
                  69,            0.021394,           0.0095593,            0.001327,             0.97875,             0.95808,             0.98495,             0.78121,            0.019112,           0.0054658,           0.0011217,            0.001585,            0.001585,            0.001585
                  70,            0.021003,           0.0095051,           0.0011996,             0.98621,             0.96474,             0.98381,             0.78376,            0.019362,           0.0054329,           0.0011345,           0.0014612,           0.0014612,           0.0014612
                  71,            0.020801,           0.0091941,           0.0010145,             0.97793,             0.96336,             0.98383,             0.78164,            0.019445,            0.005481,           0.0011281,           0.0013375,           0.0013375,           0.0013375
                  72,            0.021382,           0.0093629,           0.0013207,             0.98113,             0.96418,             0.98467,             0.78505,            0.018798,           0.0054149,           0.0010765,           0.0012138,           0.0012138,           0.0012138
                  73,            0.021683,           0.0097819,           0.0013176,             0.99015,             0.97264,             0.98568,             0.78434,            0.019428,           0.0053929,           0.0010814,             0.00109,             0.00109,             0.00109
                  74,            0.021807,           0.0098938,           0.0013381,             0.98896,             0.97235,             0.98603,             0.78821,            0.018986,           0.0053767,           0.0010739,          0.00096625,          0.00096625,          0.00096625
                  75,            0.021059,           0.0092684,           0.0013846,             0.98927,             0.97228,             0.98585,             0.77967,            0.018916,           0.0053744,           0.0010869,           0.0008425,           0.0008425,           0.0008425
                  76,            0.020742,           0.0097351,           0.0016925,             0.98539,             0.96689,             0.98587,             0.78119,              0.0189,           0.0053923,           0.0010702,          0.00071875,          0.00071875,          0.00071875
                  77,            0.021553,           0.0098874,           0.0016241,             0.97816,             0.96774,             0.98568,             0.78882,            0.018606,           0.0053727,           0.0010664,            0.000595,            0.000595,            0.000595
                  78,             0.01948,           0.0096952,          0.00098998,             0.97986,             0.96774,             0.98569,             0.79293,            0.018344,           0.0053434,           0.0010672,          0.00047125,          0.00047125,          0.00047125
                  79,            0.020156,           0.0095342,          0.00097455,             0.98051,             0.96994,             0.98615,             0.79149,            0.018383,           0.0053419,           0.0010498,           0.0003475,           0.0003475,           0.0003475
